time,total,growth
Apr-24,24453.18,-31.1
Mar-24,18522.82,-30.7
Feb-24,9227.09,-32.7
Dec-23,102989.59,-6
Nov-23,93645.57,-4.3
Oct-23,86502.02,-3.7
Sep-23,79310.98,-3.2
Aug-23,69917.76,-1.5
Jul-23,63184.23,0.7
Jun-23,56638.58,3.7
May-23,45131.89,11.9
Apr-23,36019.79,11.8
Mar-23,27647.19,7.1
Feb-23,14134.14,3.5
Dec-22,116746.97,-28.3
Nov-22,104187.6,-28.4
Oct-22,95447.32,-28.2
Sep-22,87053.63,-28.6
Aug-22,75287.83,-30.3
Jul-22,66328.47,-31.4
Jun-22,57682.71,-31.8
May-22,42317.29,-34.5
Apr-22,33248.49,-32.2
Mar-22,26072.56,-25.6
Feb-22,13652.36,-22.1
Dec-21,162729.9,5.3
Nov-21,145597.34,9.3
Oct-21,132902.15,12.7
Sep-21,121957.26,17.8
Aug-21,108061.55,24.5
Jul-21,96746.61,33.1
Jun-21,84632.72,41.9
May-21,64570.35,56.5
Apr-21,49009.68,73.2
Mar-21,35055.38,95.5
Feb-21,17526.31,143.5
Dec-20,154566.96,10.8
Nov-20,133246.8,9.5
Oct-20,117923.06,8.2
Sep-20,103497.4,6.2
Aug-20,86769.37,4.1
Jul-20,72686.46,0.4
Jun-20,59633.44,-2.8
May-20,41249.79,-8.4
Apr-20,28290.63,-16.5
Mar-20,17934.36,-22.8
Feb-20,7197.59,-34.7
Dec-19,139439.97,10.3
Nov-19,121705.86,10.7
Oct-19,108947.77,10.8
Sep-19,97496.55,10.3
Aug-19,83317.09,9.9
Jul-19,72430.63,9.2
Jun-19,61344.93,8.4
May-19,45020.66,8.9
Apr-19,33869.78,10.6
Mar-19,23239.37,7.5
Feb-19,11027.79,4.5
Dec-18,126392.6,14.7
Nov-18,109946.88,14.8
Oct-18,98354.86,15
Sep-18,88364.2,15.6
Aug-18,75831.12,16.4
Jul-18,66328.09,16.2
Jun-18,56604.29,14.8
May-18,41349.9,12.8
Apr-18,30613.77,9.5
Mar-18,21608.69,11.4
Feb-18,10552.74,15.7
Dec-17,110239.51,11.3
Nov-17,95762.08,9.9
Oct-17,85532.32,9.6
Sep-17,76442.27,11.4
Aug-17,65155.73,14.2
Jul-17,57087.49,15.9
Jun-17,49298.05,17.9
May-17,36655.76,15.3
Apr-17,27950.84,16.1
Mar-17,19398.99,20.2
Feb-17,9120.87,22.7
Dec-16,99064,36.1
Nov-16,87120.88,39.3
Oct-16,78023.15,42.6
Sep-16,68610.71,43.2
Aug-16,57043.17,40.1
Jul-16,49272.65,41.2
Jun-16,41801.92,44.4
May-16,31800.08,53.4
Apr-16,24070.32,61.4
Mar-16,16133,60.3
Feb-16,7435.28,49.2
Dec-15,72753,16.6
Nov-15,62532.34,18
Oct-15,54702.71,18
Sep-15,47898,18.2
Aug-15,40724.07,18.7
Jul-15,34884.45,16.8
Jun-15,28941.12,12.9
May-15,20731.52,5.1
Apr-15,14915.75,-2.2
Mar-15,10062.17,-9.1
Feb-15,4982.92,-16.7
Dec-14,62395.58,-7.8
Nov-14,53011.92,-9.7
Oct-14,46374.95,-9.9
Sep-14,40516.11,-10.8
Aug-14,34314.19,-10.9
Jul-14,29873.71,-10.5
Jun-14,25632.46,-9.2
May-14,19720.2,-10.2
Apr-14,15258.7,-9.9
Mar-14,11074.99,-7.7
Feb-14,5984.67,-5
Dec-13,67694.94,26.6
Nov-13,58689.35,31.1
Oct-13,51484.59,32.6
Sep-13,45437,34.5
Aug-13,38525.67,35.7
Jul-13,33379.56,39.9
Jun-13,28215.06,46
May-13,21971.3,56.8
Apr-13,16941.06,65.2
Mar-13,11994.87,69
Feb-13,6300.53,87.2
Dec-12,53467.18,10.9
Nov-12,44783.05,10.4
Oct-12,38824.51,6.6
Sep-12,33787.7,3.3
Aug-12,28383.71,2.3
Jul-12,23866.92,-1.1
Jun-12,19322.79,-6.5
May-12,14010.39,-10.6
Apr-12,10252.88,-13.5
Mar-12,7099,-17.5
Feb-12,3365.78,-24.7
Dec-11,48619.39,10.2
Nov-11,40581.11,13.7
Oct-11,36417.38,16.3
Sep-11,32693.7,21.2
Aug-11,27755.29,24.4
Jul-11,24144.45,24.5
Jun-11,20657.38,22.3
May-11,15665.33,16
Apr-11,11855.89,11
Mar-11,8607.21,25.9
Feb-11,4471.3,26.2
Dec-10,43953.33,14.4
Nov-10,35679.48,12.8
Oct-10,31317.57,12.8
Sep-10,26985.85,11.2
Aug-10,22308.19,7.5
Jul-10,19397.93,11.7
Jun-10,16895.21,20.3
May-10,13498.79,33.6
Apr-10,10682.55,51.5
Mar-10,6836.18,55.2
Feb-10,3543.11,70.8
Dec-09,38157.21,80
Nov-09,31624.94,91.5
Oct-09,27765.95,84.3
Sep-09,24267.56,78.2
Aug-09,20751.64,74.6
Jul-09,17373.08,65.3
Jun-09,14046.98,57.1
May-09,10103.62,49
Apr-09,7052.48,38.6
Mar-09,4404.68,24.7
Feb-09,2055.56,13.1
Dec-08,20424.06,-20.1
Nov-08,16514.5,-20.6
Oct-08,15067.72,-18.2
Sep-08,13617,-15.5
Aug-08,11883.21,-12.7
Jul-08,10510,-6.6
Jun-08,8941.22,-1.1
May-08,6780.31,-0.4
Apr-08,5087.74,1.6
Mar-08,3520.36,4.8
Feb-08,1817.37,-0.7
Dec-07,25323.48,46.5
Nov-07,20791.19,54.1
Oct-07,18413.41,56.6
Sep-07,16123.09,55.9
Aug-07,13612.63,50.2
Jul-07,11254.93,43.3
Jun-07,9044.33,36.8
May-07,6809.57,29.8
Apr-07,5007.63,31.3
Mar-07,3360.1,29.6
Feb-07,1830.66,21.5
Dec-06,17038.01,20.2
Nov-06,13492.58,18.8
Oct-06,11759.29,18.7
Sep-06,10346.84,17.8
Aug-06,9063.57,18.3
Jul-06,7853.77,21.1
Jun-06,6613.82,22.9
May-06,5246.9,19.8
Apr-06,3815.89,12.2
Mar-06,2599.96,9.6
Feb-06,1506.4,10.3
